MLS #,YearClosed,SoldPr,SFH,Condo,Duplex,Townhouse,YearBuilt,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,AttachedGarage,GarageSpaces,ParkingSpaces,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Stat,recent,new
10128591,2019,182808.75,0,1,0,0,1978,0,,0,1,0,0,0,0,1030,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10657626,2020,179374.99999999997,0,1,0,0,1981,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10310733,2019,183859.375,0,1,0,0,1973,0,,0,0,1,0,0,0,1100,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10708545,2020,179374.99999999997,0,0,0,1,1965,0,,0,0,1,0,0,0,1158,5,1,1,0,3,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10696797,2020,179374.99999999997,0,1,0,0,1976,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10487415,2020,179374.99999999997,0,1,0,0,1996,0,,0,1,0,0,0,0,1133,5,2,0,0,2,0,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10479474,2020,180399.99999999997,0,1,0,0,1996,0,,0,1,0,0,0,0,1080,5,2,0,0,2,0,0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10810703,2020,181424.99999999997,0,1,0,0,1982,0,,0,1,0,0,0,0,1000,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10475275,2019,185960.625,0,1,0,0,1973,0,,0,0,1,0,0,0,1250,5,2,0,0,2,0,0,0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10606623,2020,181937.49999999997,0,1,0,0,1996,0,,0,1,0,0,0,0,1200,6,2,0,0,2,0,0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
9982835,2019,186485.9375,0,1,0,0,1970,0,,0,0,1,0,0,0,1250,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10799728,2020,183474.99999999997,0,1,0,0,1996,0,,0,1,0,0,0,0,1080,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10779089,2020,186549.99999999997,0,1,0,0,1982,0,,0,1,0,0,0,0,1050,5,2,0,0,2,0,0,0,123.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10921738,2020,188599.99999999997,0,1,0,0,1978,0,,0,1,0,0,0,0,1300,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10789911,2020,189624.99999999997,0,1,0,0,1982,0,,0,1,0,0,0,0,1450,6,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10705628,2020,191162.49999999997,0,1,0,0,1980,0,,0,1,0,0,0,0,1200,5,2,0,0,2,0,0,0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10630501,2020,191674.99999999997,0,1,0,0,1980,0,,0,1,0,0,0,0,1350,6,2,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
10584144,2020,192699.99999999997,0,1,0,0,1970,0,,0,0,1,0,0,0,1064,4,1,0,0,2,0,0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CLSD,0.0,
