SoldPr,SFH,Condo,Duplex,Townhouse,New,Recent,20A,19A,19B,19C,19D,Pre1900,Area,Rooms,FullBaths,HalfBaths,BsmtBth,Beds,BsmtBeds,GarageSpaces,60002,60025,60026,60029,60035,60053,60062,60067,60076,60077,60091,60201,60202,60203,60625,60626,60638,63104
896875,1,0,0,0,0,0,0,1,0,0,0,0,3924,12,3,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
189303.9107,1,0,0,0,0,0,0,1,0,0,0,0,1073,6,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
336200,0,0,0,1,0,0,1,0,0,0,0,0,1721,7,2,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
403850,1,0,0,0,0,0,0,1,0,0,0,0,1575,10,2,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
697000,1,0,0,0,0,0,1,0,0,0,0,0,2719,8,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
857156.25,1,0,0,0,0,0,0,0,1,0,0,0,2437,8,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
180400,0,1,0,0,0,0,0,1,0,0,0,0,1080,5,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250565.5262,0,1,0,0,0,0,1,0,0,0,0,0,1400,5,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
164000,1,0,0,0,0,0,0,1,0,0,0,0,1298,6,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563750,1,0,0,0,0,0,0,1,0,0,0,0,2059,10,2,1,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
840498.9494,1,0,0,0,0,0,0,0,0,0,0,1,3660,12,3,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
